Time, ProductionCenter, WorkersCount, BufferCount
128.0, Производственный  центр №4, 0, 58
128.0, Производственный  центр №5, 0, 0
129.0, Производственный  центр №1, 2, 382
129.0, Производственный  центр №2, 1, 21
129.0, Производственный  центр №3, 0, 36
129.0, Производственный  центр №4, 0, 58
129.0, Производственный  центр №5, 0, 0
130.0, Производственный  центр №1, 2, 380
130.0, Производственный  центр №2, 1, 22
130.0, Производственный  центр №3, 0, 36
130.0, Производственный  центр №4, 0, 59
130.0, Производственный  центр №5, 0, 0
131.0, Производственный  центр №1, 2, 380
131.0, Производственный  центр №2, 1, 22
131.0, Производственный  центр №3, 0, 36
131.0, Производственный  центр №4, 0, 59
131.0, Производственный  центр №5, 0, 0
132.0, Производственный  центр №1, 2, 380
132.0, Производственный  центр №2, 1, 21
132.0, Производственный  центр №3, 0, 37
132.0, Производственный  центр №4, 0, 59
132.0, Производственный  центр №5, 0, 0
133.0, Производственный  центр №1, 2, 378
133.0, Производственный  центр №2, 1, 22
133.0, Производственный  центр №3, 0, 37
133.0, Производственный  центр №4, 0, 60
133.0, Производственный  центр №5, 0, 0
134.0, Производственный  центр №1, 2, 378
134.0, Производственный  центр №2, 1, 22
134.0, Производственный  центр №3, 0, 37
134.0, Производственный  центр №4, 0, 60
134.0, Производственный  центр №5, 0, 0
135.0, Производственный  центр №1, 2, 376
135.0, Производственный  центр №2, 1, 23
135.0, Производственный  центр №3, 0, 37
135.0, Производственный  центр №4, 0, 61
135.0, Производственный  центр №5, 0, 0
136.0, Производственный  центр №1, 2, 376
136.0, Производственный  центр №2, 1, 22
136.0, Производственный  центр №3, 0, 38
136.0, Производственный  центр №4, 0, 61
136.0, Производственный  центр №5, 0, 0
137.0, Производственный  центр №1, 2, 374
137.0, Производственный  центр №2, 1, 23
137.0, Производственный  центр №3, 0, 38
137.0, Производственный  центр №4, 0, 62
137.0, Производственный  центр №5, 0, 0
138.0, Производственный  центр №1, 2, 374
138.0, Производственный  центр №2, 1, 23
138.0, Производственный  центр №3, 0, 38
